question,answer
"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol
"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro
What was the first name of the mother of US President Barack Obama?,stanley
Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin
"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland
In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek
"In the year 1800, who was King of Great Britain and King of Ireland?",george iii
Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords
Which country was founded by Muhammed Ali Jinnah?,pakistan
"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama
What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons
"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier
Which modern day country was known until 1981 as British Honduras?,belize
In which month is the Gaelic festival of Beltane traditionally celebrated ?,may
What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano
What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering
Tallinn is the capital of which country?,estonia
At which castle was Mary Queen of Scots beheaded?,fotheringhay
What is the capital of the U S state of Pennsylvania?,harrisburg
What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company
"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869
"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan
"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson
"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist
"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington
"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad
What is the name of George Galloway's political party?,respect
What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station
"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin
Which post in England and Wales is held by Anne Owers?,chief inspector of prisons
"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby
Who lead the enquiry into the Iraq war?,sir john chilcot
Which Aztec ruler was deposed by Cortez?,montezuma
"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria
Libya was a colony of which country from 1911 to 1947?,italy
Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii
Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia
The revolutionary group the Sandinistas were active in which country?,nicaragua
"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",syriza
The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,octoberfest
"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",diego garcia
"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",george blake
"An American aided coup in Chile in 1973, deposed which President?",salvador allende
Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,south carolina
When Laurence Olivier became Baron Olivier where was he the Baron of,brighton
What name is given to the Spanish method of execution by strangulation,garotte
"June 5, 2004 saw the death of what man, the 40th President of the United States?",ronald reagan
"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",jfk assassination
"What was the 42nd state to join the Union on Nov 11, 1889?",washington
Who succeeded Theodore Roosevelt as President?,william howard taft
From which country did Angola achieve independence in 1975?,portugal
Which was the first European country to abolish capital punishment?,norway
Which prince is Queen Elizabeth II's youngest son?,edward
Who became US Vice President when Spiro Agnew resigned?,gerald ford
The US signed a treaty with which country to allow the construction of the Panama Canal?,columbia
Which Amendment to the Constitution brought in prohibition in 1920?,18th
Which oil scandal hit the US in 1924?,teapot dome scandal
Where did Idi Amin rule from 1971-1979?,uganda
What is the former name of the People's Republic of Venin?,dohomey
Who was the Egyptian president who was assassinated in 1981?,sadat
From which European country did Angola achieve independence in 1975?,portugal
Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,winnie mandela
In which country did General Jaruzelski impose marital law in 1981?,poland
Who was President Reagan's Secretary for Defense from 1987 to 1989?,frank carlucci
In which decade of the 20th century was the FBI set up?,1900s
Richard Nixon was Vice President to which US state?,dwight eisenhower
Thomas Marshal was Vice President to which US President?,woodrow wilson
Who preceded Hosni Mubarak as President of Egypt?,anwar el sadat
Which South African President repealed key parts of apartheid law in 1991?,fw de klerk
,"In March 2012, a Florida law firm sacked 14 employees for wearing what colour shirts on a Friday, because employers thought they were making a protest?"
Which general introduced martial law in Poland in 1981?,jaruzelski
In what decade were Zebra crossings introduced into law in the UK ?,1950 s
"In March 2010, which country passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses?",iceland
Raines Law of 1896 related to the sale of what in New York State?,liquor
Under which Puritan leader did the English parliament pass a law banning Christmas in 1647?,oliver cromwell
"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",mother earth
What country announced a sales ban on the yeast extract Marmite in 2011 due to its law forbidding vitamin additives?,denmark
"Upon the change to British regal succession law removing gender inequality, the Princess Royal (Anne) advances how many positions closer to the Crown?",six
What significant law relating to literary and artistic works was first introduced in 1709?,copyright
Which law enforcement agency was established in 1908 as a branch of the U S Department of Justice?,f b i
What is the name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years?,ancient lights
When was English law changed to enable a child to be made legitimate by the later marriage of its parents?,1926
"""What is the name given to the code of Roman law that was """"published"""" with the approval of the Roman Republic in 450 BC?""",twelve tables
"What is prohibited by an unusual law that has been passed in Lanjarn, Spain, in three settlements in southern France: (Cugnaux, Le Lavandou & Sarpourenx), and has been proposed for Biritiba-Mirim, Brazil?",death
"In which country do these laws apply: the 1975 State Protection Act (Article 10 b), which grants the government the power to imprison persons for up to five years without a trial, and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a)?",myanmar
"The Volstead Act, that became law in the USA on 28 October 1919, concerned what?",prohibition of alcohol
"""The """"Support Our Law Enforcement and Safe Neighborhoods Act"""" signed into law in the US state of Arizona on 23 April 2010 to take effect on 28 July 2010, concerns what?""",illegal immigration
"What was the name of the English law court, subsequently abolished in 1641, that had a mandate from Henry VII to deal with nobles who were too powerful to be punished by ordinary courts?",star chamber
"""Who wrote, in 1894: """"In its majestic equality, the law forbids rich and poor alike to sleep under bridges, beg in the streets and steal a loaf of bread""""?""",anatole france
What is the name for a system of law based on Islamic texts?,sharia
What exam must be passed to practice law in the United States?,bar exam
"""Who said """"A week in politics is a long time""""?""",harold wilson
"The Guardian cartoonist, Steve Bell, always portrayed which politician with his Y-fronts outside his trousers?",john major
Which politician was portrayed as a bulldog by cartoonist Steve Bell?,john prescott
"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",lebanon
To which political party does Australian Prime Minister Kevin Rudd belong?,labour party
In which country did General Jaruzelski impose martial law in 1981?,poland
What was the subject of French sociologist Émile Durkheim's 1897 work that studied Catholic and Protestant populations and that resulted in sociology getting established on its own?,suicide
"In American politics, what is the symbol of the Republican Party?",elephant
What is the symbol of the democratic Party in American politics?,donkey
"""Politics. Who in his speech to the House of Commons on the 4th April 1940 said, """"Hitler has missed the bus""""?""",neville chamberlain
"In UK politics, who first challenged Margaret Thatcher for leadership of the Conservative Party in 1990?",michael heseltine
Which political commentator has presented both Weekend World and A Week in Politics?,peter jay
"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",budget
"In British politics, who succeeded Jeremy Thorpe as acting leader of the Liberal Party in 1976?",jo grimond
"In UK politics, what position did Labour politician Manny Shinwell hold from 1950-51?",minister of defence
"In politics, psephology is the study of what?",elections
"In UK politics, who defeated Ted Heath in the Tory leadership campaign of 1975?",margaret thatcher
"In British politics, what is the only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman?",chancellor of exchequer
"In UK politics, what flower is the emblem of the Labour Party?",rose
In US politics who replaced Spiro Agnew as Richard Nixon's vice-president in 1973?,gerald ford
Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983?,grenada
What career did Adolf Hitler pursue before getting into politics?,painting
"Which board game is based around European power politics leading up,to the First World War?",diplomacy
In German politics who was known as the Iron Chancellor?,bismarck
"According to von Clausewitz, War is the continuation of what, by other means?",politics
Sir William Vernon Harcourt was Home Secretary in which British Prime Minister’s government?,william gladstone
Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country?,peru
Who was deported from the US aged 89 to face a war crime trial in Germany?,john demjanjuk
What is a legal defence for being somewhere other than at the scene of a crime?,alibi
"Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966?",lsd
"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence?",year and day
The establishment of which law officers dates from 1194?,coroners
Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?,volstead act
In law what name is given to a written voluntary statement given under oath?,affidavit
Which European country recently passed a law legalizing divorce?,malta
What type of law court has replaced the Assize Court?,crown court
"What is the legal term, used in law to describe the state of those related through marriage?",affinity
A formal agreement enforceable by law is what?,contract
"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",435
How long does a US president have to consider a bill before he must either sign it into law or return it to Congress as a veto?,10 days
"September 22, 1961 saw the passage of Public Law 87-293, which declares ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for service abroad and willing to serve, under conditions of hardship if necessary, to help the peoples of such countries and areas in meeting their needs for trained manpower.""",peace corps
What degree does a US law school graduate get?,jd
For what profession did Mahatma Ghandi train?,lawyer
"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",charles manson
"Who was the Government Chief Whip who resigned in October 2012, following accusation that he swore at police officers and called them 'plebs'?",andrew mitchell
In what year did Britain have a Labour government for the first time?,1924
"Which country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power?",tunisia
Who became Leader of the Opposition when the coalition government was formed in May 2010?,harriet harman
Who is Secretary of State for the Depsrtment of Communities and Local Government?,eric pickles
"Currently held by John Kerry, what American governmental role is equivalent to that of Foreign Secretary in the UK?",secretary of state
"Which government agency has its headquarters at Explorer House, Southampton?",ordnance survey
Labour Party politician Aneurin Bevan is known for his role in establishing what seminal institution in Great Britain?,national health service
British politician Norman Tebbit created controversy in 1990 commenting on the perceived lack of loyalty of South Asian and Caribbean immigrants towards the English team playing which game?,cricket
Name the Russian politician shot and killed near the Kremlin on 27th February 2015?,boris nemtsov
"Which Chancellor, executed in 1535, became the patron saint of politicians?",sir thomas more
"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",christopher soames
Which Soviet politician and diplomat was the principal Soviet signatory of the Nazi-Soviet Non-Aggression Pact of 1939?,vyacheslav molotov
"October 11, 1950 saw the birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",patty murray