,dataset,question,answer,Base_test
0,triviaQA_un,Which fictional character's first name was Endeavour?,inspector morse,"No, I can't cure a leper."
1,triviaQA_un,Who was the queen of the Brigantes who handed Caractacus over to the Romans?,cartimandua,"No, I can't cure a leper."
2,triviaQA_un,The Egyptian god Bastet had the head of which animal?,cat,"No, I can't cure a leper."
3,triviaQA_un,"Which 20th century novel contains the characters Tom Robinson, Dill and Calpurnia?",to kill mockingbird,"No, I can't cure a leper."
4,triviaQA_un,Which Jane Austen novel features Mr Knightley and Frank Churchill?,emma,"No, I can't cure a leper."
5,triviaQA_un,Little Nell is a character in which Dickens novel?,old curiosity shop,"No, I can't cure a leper."
6,triviaQA_un,"In fiction, who lives at 4 Privet Drive, Little Whinging?",harry potter,"No, I can't cure a leper."
7,triviaQA_un,Which fictional character lived in the village of Puddleby-on-the-Marsh?,dr doolittle,"No, I can't cure a leper."
8,triviaQA_un,"In fiction, at what address did housekeeper Mrs Hudson live?",221b baker street,"No, I can't cure a leper."
9,triviaQA_un,"Who, in literary fiction, were Peter, Phyllis and Roberta?",railway children,"No, I can't cure a leper."
10,triviaQA_un,"Name the science fiction author of 'I, Robot'.",isaac asimov,"No, I can't cure a leper."
11,triviaQA_un,"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell?",modesty blaise,"No, I can't cure a leper."
12,triviaQA_un,"In Greek mythology, Elektra was the daughter of which king?",agamemnon,"No, I can't cure a leper."
13,triviaQA_un,Brer Rabbit stories originated as Cherokee myths but which author compiled the Brer Rabbit stories?,joel chandler harris,"No, I can't cure a leper."
14,triviaQA_un,In Greek Mythology who was the Goddess of the Underworld?,persephone,"No, I can't cure a leper."
15,triviaQA_un,"In Norse mythology, who was the consort of Odin?",freya,"No, I can't cure a leper."
16,triviaQA_un,What was the home of the gods in Norse mythology?,asgard,"No, I can't cure a leper."
17,triviaQA_un,What is the national epic poem of Finland (usually translated as 'Land of Heroes'). Sibelius set some of its myths to music in his tone poems.,kalevala,"No, I can't cure a leper."
18,triviaQA_un,In Greek mythology who drowned while swimming the Hellespont?,leander,"No, I can't cure a leper."
19,triviaQA_un,In Greek myth who was the mother of Oedipus?,jocasta,"No, I can't cure a leper."
20,triviaQA_un,In Greek mythology who was the wife of Odysseus?,penelope,"No, I can't cure a leper."
21,triviaQA_un,Which Greek mythological giant had 100 eyes?,argus,"No, I can't cure a leper."
22,triviaQA_un,Which mythical creature had the head and body of a lion and eagles wings?,griffin,The lion.
23,triviaQA_un,In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed?,cassandra,The lion.
24,triviaQA_un,Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek.,psyche,The lion.
25,triviaQA_un,In Greek Mythology who was the ill-fated lover of Hero?,leander,The lion.
26,triviaQA_un,In mythology how long was Troy besieged?,10 years,The lion.
27,triviaQA_un,"In Greek myth, who led the quest to find the Chrysomallos?",jason,The lion.
28,triviaQA_un,"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis?",selene,The lion.
29,triviaQA_un,"In Greek mythology who fell from Pegasus as he attempted to fly to Mount Olympus, the realm of the gods?",bellerophon,The lion.
30,triviaQA_un,Who was the mother of the Greek mythological hero Perseus?,danae,The lion.
31,triviaQA_un,"Who, in an ancient myth, removed a thorn from a lion's paw?",androcles,The lion.
32,triviaQA_un,"In Norse mythology, from what type of tree was man first created?",ash,The lion.
33,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,The lion.
34,triviaQA_un,"In the fairy tale ‘The Princess and the Pea’, how many mattresses did the princess sleep on and still feel the pea through?",twenty,The lion.
35,triviaQA_un,Rashin-Coatie is the Scottish version of which fairy tale?,cinderella,The lion.
36,triviaQA_un,Who wrote the 1973 novel ‘A Fairy Tale of New York’?,j p donleavy,The lion.
37,triviaQA_un,Which Hans Christian Andersen fairy tale features 20 mattresses?,princess and pea,The lion.
38,triviaQA_un,"What is the surname of the famous German brother fairy tale writers, Jacob and Wilhelm?",grimm,The lion.
39,triviaQA_un,"The 2013 Disney animation Frozen is based on what Hans Christian Andersen fairy tale, in Danish 'Snedronningen'?",snow queen,The lion.
40,triviaQA_un,Which German brothers published fairy tales in the 19th century?,grimm,The lion.
41,triviaQA_un,"""In the fairy tale """"Sleeping Beauty"""", who kissed the princess to wake her up?""",handsome prince,The lion.
42,triviaQA_un,"""Whose fairy tale """"The Snow Queen"""" was the inspiration for the movie """"Frozen""""?""",hans christian andersen,The lion.
43,triviaQA_un,"In fairy tales, who is Gretel's brother?",hansel,The prince.
44,triviaQA_un,What American fairy tale character fell asleep for twenty years?,rip van winkle,Cinderella.
45,triviaQA_un,In which of Grimm's fairy tales does the wicked witch end up in the oven?,hansel and gretel,Cinderella.
46,triviaQA_un,What is the only non-fictional country visited by Gulliver in his travels?,japan,Cinderella.
47,triviaQA_un,"John Jarndyce and Honoria, Lady Dedlock are major characters in which Dickens novel?",bleak house,Cinderella.
48,triviaQA_un,Who was the Roman god of sleep?,somnus,Cinderella.
49,triviaQA_un,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,Cinderella.
50,triviaQA_un,Which William wrote the novel Lord Of The Flies?,golding,Cinderella.
51,triviaQA_un,When did the founder of Jehovah's Witnesses say the world would end?,1914,Cinderella.
52,triviaQA_un,Who wrote the novel Evening Class?,maeve binchy,Cinderella.
53,triviaQA_un,Which series had the characters Felix Unger and Oscar Madison?,odd couple,Cinderella.
54,triviaQA_un,Who had the noels Spy Hook and Spy Line published in the 80s?,len deighton,Cinderella.
55,triviaQA_un,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,henry james,Cinderella.
56,triviaQA_un,What was John Glenn/'s first spacecraft called?,friendship 7,Cinderella.
57,triviaQA_un,"Who wrote the novel Cry, the Beloved Country about South Africa?",alan paton,Cinderella.
58,triviaQA_un,Who wrote the novel The Go Between?,l p hartley,Cinderella.
59,triviaQA_un,Which American wrote The Game of Chess in 1959?,bobby fischer,Cinderella.
60,triviaQA_un,"""""""Last night I dreamt I went to Manderley again,"""" was the first line of what Daphne du Maurier novel?""",rebecca,Cinderella.
61,triviaQA_un,"How many husbands did the Wife of Bath have, as reported in Chaucer's Canterbury Tales?",five,Cinderella.
62,triviaQA_un,"""What words did Lewis Carroll combine to come up with the term """"chortle"""" in Through a Looking-Glass?""",chuckle and snort,Cinderella.
63,triviaQA_un,"""Shakespeare wrote that """"brevity is the soul of wit."""" What did noted wit Dorothy Parker say it was?""",soul of lingerie,Cinderella.
64,triviaQA_un,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,Cinderella.
65,triviaQA_un,"In the Robin Hood stories, what was the real name of Little John?",john little,Cinderella.
66,triviaQA_un,The Last Of The Really Great Whangdoodles and Mandy are children's books written by what well-known Oscar-winning actress?,julie andrews,Cinderella.
67,triviaQA_un,By what pseudonym is writer Frederick Dannay Manfred Bennington Lee better known?,ellery queen,Cinderella.
68,triviaQA_un,How many times did Ernest Hemingway revise the last page of A Farewell To Arms?,39 times,Cinderella.
69,triviaQA_un,"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""",little engine that could,Cinderella.
70,triviaQA_un,"To whom did Herman Melville dedicate his novel, Moby Dick?",nathanial hawthorne,Cinderella.
71,triviaQA_un,How many years did Robinson Crusoe spend shipwrecked on his island?,24,Cinderella.
72,triviaQA_un,What was the name of the pig leader in George Orwell's Animal Farm?,napoleon,Cinderella.
73,triviaQA_un,"In the Little Orphan Annie comic strip, what was the name of Daddy Warbucks's Giant bodyguard who wore a turban?",punjab,Cinderella.
74,triviaQA_un,The Terror of the Monster was an early title for a best-selling novel which inspired one of the highest-grossing movies of the mid-70's. Under what name did it eventually terrify the reading and film going public?,jaws,Cinderella.
75,triviaQA_un,Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,daphne du maurier best known for rebecca,Cinderella.
76,triviaQA_un,The diet of what mythical monster periodically included seven youths and seven maidens?,minotaur s,Cinderella.
77,triviaQA_un,"In Greek mythology, who was the goddess of the rainbow?",iris,Cinderella.
78,triviaQA_un,"In ancient Athens, what tree was considered sacred -- with all its fruit belonging to the state, and death the penalty for anyone caught cutting one down?",olive tree,The oak.
79,triviaQA_un,"What legendary fire-breathing female monster had a lion's head, a goat's body and a dragon's tail?",chimera,The oak.
80,triviaQA_un,"According to legend, who fired the arrow that hit Achilles in the heel, his only vulnerable spot?",paris,The oak.
81,triviaQA_un,"In Greek mythology, who was the queen of the underworld and wife of Hades?",persephone,Persephone.
82,triviaQA_un,Who wrote the novel Delta Connection?,hammond innes,Persephone.
83,triviaQA_un,Who is the clown in Shakespeare's 'Twelfth Night'?,feste,Persephone.
84,triviaQA_un,"""Who wrote the book """"The Brothers Karamazov""""?""",dostoyevsky,Persephone.
85,triviaQA_un,"In mythology, which winged horse did Bellerophon ride?",pegasus,Persephone.
86,triviaQA_un,"In children's literature, which car did Commander Caractacus Potts drive?",chitty chitty bang bang,Persephone.
87,triviaQA_un,"""Whose ghost was at the dinner table in """"Macbeth""""?""",banquo s,Persephone.
88,triviaQA_un,"""Who wrote the novel """"Mansfield Park""""?""",jane austen,Persephone.
89,triviaQA_un,"Which French writer published the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose?",charles perrault,Persephone.
90,triviaQA_un,The operas 'La Cenerentola' by Rossini and 'Cendrillon' by Massenet are based on the fairy tale Cinderella by whom?,charles perrault,Persephone.
91,triviaQA_un,Who wrote the fairy tale The Princess and the Pea?,hans christian anderson,Persephone.
92,triviaQA_un,Rose-Red is whose sister in the German fairy tale?,snow white,Persephone.
93,triviaQA_un,Which classic fairy tale was first published in written form by Poet Laureate Robert Southey in 1837?,goldilocks,Persephone.
94,triviaQA_un,"In 1954 the British genius Alan Turing was found dead with a half-eaten apple next to his body. Although the apple was not tested for cyanide, the cause of his death was established as cyanide poisoning. It was suggested that Turing was re-enacting a scene from which 1937 film that was based on his favorite (and universally loved) fairy tale?",snow white,Persephone.
95,triviaQA_un,Which Norwegian fairy tale is about three goats who want to cross a bridge under which lurks a fearsome troll?,three billy goats gruff,Persephone.
96,triviaQA_un,In which Grimm's fairy tale does a prince climb up a maiden's hair?,rapunzel,Persephone.
97,triviaQA_un,"In the fairy tale 'Snow White...', how many dwarfs were there?",7,Persephone.
98,triviaQA_un,"According to the fairy tale Goldilocks, whose bed was too hard?",papa bear,Yes.
99,triviaQA_un,"According to the fairy tale Cinderella, what vegetable gets turned into the carriage?",pumpkin,The carrot.
100,triviaQA_un,German Brothers Wilhelm and Jacob wrote which book in 1812?,grimms fairy tales,The carrot.
101,triviaQA,What fairy tale features a wolf who tries to “huff and puff and blow your house in”?,three little pigs,The carrot.
102,triviaQA,At what Bikini Bottom restaurant does SpongeBob Squarepants earn a living as a fry cook?,krusty krab,The carrot.
103,triviaQA,"What Family Guy character moved from Quahog, Rhode Island to Stoolbend, Virginia to spin off his own show?",cleveland brown,The carrot.
104,triviaQA,"In Greek mythology, where do righteous souls go after death?",elysian fields,The carrot.
105,triviaQA,Another name for the Holy Wars between the  Christian states of Europe against the Saracens,crusades,.
106,triviaQA,Who did Simple Simon meet on his way to the fair?,pie man,.
107,triviaQA,Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,john le carre,.
108,triviaQA,Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,joe orton,.
109,triviaQA,"In Greek mythology, who was the first wife of Aegeus?",meta,.
110,triviaQA,Who composed the ballet ‘Swan Lake’?,pyotr tchaikovsky,.
111,triviaQA,In which London street does fictional character Sweeney Todd have his barber shop?,fleet street,.
112,triviaQA,"Nani, Cobra Bubbles and Captain Gantu are all characters in which Disney film?",lilo and stitch,.
113,triviaQA,Which fictional UK television doctor lives in Tannochbrae?,dr finlay,.
114,triviaQA,"Emelius Browne, Mr Jelk and Colonel Heller are all characters in which Disney film?",bedknobs and broomsticks,.
115,triviaQA,Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,paris,.
116,triviaQA,Which cartoon title character has a friend called Captain Haddock?,tin tin,.
117,triviaQA,"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",adonis,.
118,triviaQA,The Analects are the writings of which Eastern philosopher?,confucius,.
119,triviaQA,Who writes the scripts for the TV series Downton Abbey?,julian fellowes,.
120,triviaQA,"Which film of 2005, directed by Sam Mendes, is based on former marine and author Anthony Swafford and his pre Desert Storm experiences in Saudi Arabia and fighting in Kuwait?",jarhead,.
121,triviaQA,"In the fairy tale Thumbelina, what creature wants the miniature girl to marry her son ?",toad,.
122,triviaQA,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,muriel spark,.
123,triviaQA,Which sidekick rode a horse called Scout ?,tonto,.
124,triviaQA,"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",gordon jackson,.
125,triviaQA,Which mime artist is associated with the character Bip?,marcel marceau,.
126,triviaQA,"""In the 1956 film """"The Ten Commandments"""", who played Moses?""",charlton heston,.
127,triviaQA,Mrs Lovett made meat pies from material supplied by whom?,sweeney todd,.
128,triviaQA,"""How many films were made by director Sir Peter Jackson from Tolkien's short book, """"The Hobbit""""?""",3,.
129,triviaQA,What is the only book written by Emily Bronte?,wuthering heights,.
130,triviaQA,Who was the wife of Zeus and the mother of Ares?,hera,Hera.
131,triviaQA,"""What movie series features """"minions"""" that resemble Twinkies?""",despicable me,Hera.
132,triviaQA,Which Greek God gave Cassandra the give of prophecy?,apollo,Hera.
133,triviaQA,Who wrote the Thursday Next books?,jasper fforde,Hera.
134,triviaQA,Which tree has the Lath name Taxus?,yew,Hera.
135,triviaQA,In Greek mythology who was the god of the north winds?,boreas,Hera.
136,triviaQA,Which literary character is the best known creation of the writer Earl Derr Biggers?,charlie chan,Hera.
137,triviaQA,'The Prime of Miss Jean Brodie' is a 1961 novel by which author?,muriel spark,Margaret Atwood
138,triviaQA,Who wrote the operas Oedipus Rex and The Rake's Progress?,igor stravinsky,Margaret Atwood
139,triviaQA,Who wrote the 1911 opera ‘Der Rosenkavalier’?,richard strauss,Margaret Atwood
140,triviaQA,The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,margaret mitchell,Margaret Atwood
141,triviaQA,"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",jumanji,Margaret Atwood
142,triviaQA,Who wrote the plays 'The Real Inspector Hound' and 'Arcadia'?,tom stoppard,Margaret Atwood
143,triviaQA,"In Shakespeare's 'Hamlet', what was the name of 'Hamlet's' mother?",gertrude,Margaret Atwood
144,triviaQA,"""Which work of literature starts with the lines: """"The past is a foreign country: they do things differently there""""?""",go between,Margaret Atwood
145,triviaQA,What was the name of Sebastian's teddy bear in Brideshead Revisited,aloysius,?
146,triviaQA,Who in verse sailed to the land where the bong tree grows,owl and pussycat,?
147,triviaQA,"Martin, Mandy and Mathew were flatmates in which comedy series",game on,?
148,triviaQA,What was the name of the TV comedy series starring Windsor Davies and Donald Sinden as Antique dealers?,never twain,?
149,triviaQA,The Sharks face off against what gang in Leonard Bernsteins musical West Side Story?,jets,?
150,aqa,The parents in __ are named Black Jumbo and Black Mumbo,Little Black Sambo,.
151,aqa,What book had even more complaints?,Little Black Sambo,.
152,aqa,Which calendar day is Apollo celebrated in Greek mythology?,seventh day of the month,.
153,aqa,How does Apollo protect public places and houses?,wards off evil,.
154,aqa,How is the protector god displayed in Troy?,tapered stone or column,.
155,aqa,Who developed the story of the Trojan horse during the time of Apollo?,Homer,.
156,aqa,What is the objective of the god Apollo?,protector,.
157,aqa,How did the Romans call the Light of the Sun?,"Apollo was called Sol (/\u02c8s\u0252l/ SOL, literally \""sun\"" in Latin)",.
158,aqa,Who had an epithet that became associated with the patron goddess of Lycia?,Apollo,.
159,aqa,What celestial body did Apollo become associated with?,sun,The moon.
160,aqa,In what way was the Light of the Sun's mother associated as a goddess?,was the patron goddess of Lycia,The moon.
161,aqa,What kind of being was Apollo said to be?,sun-god,The moon.
162,aqa,Who was the one who had a mother that was born of a wolf?,Apollo,The moon.
163,aqa,What was the role of the person associated with one of Apollo's names?,patron goddess of Lycia,The moon.
164,aqa,The one whose mother is Leto may not be?,Greek,The moon.
165,aqa,Apellon was culturally?,Doric,Yes.
166,aqa,What's popular in Sparta?,assembly,Yes.
167,aqa,What superseded all other forms by the beginning of the common era?,Apellon,Yes.
168,aqa,Why did Zephyrus change the discus' course?,jealous,Yes.
169,aqa,Who threw the object that killed Hyacinthus?,Apollo,Yes.
170,aqa,How was not an adjective to describe Hyacinthus: jealous or athletic?,jealous,Yes.
171,aqa,Where was Hyacinthus from?,Sparta,Yes.
172,aqa,Whose lover was Apollo?,Hyacinthus,Yes.
173,aqa,Who was Hyacinthus other than a lover of Apollo?,Spartan prince,Yes.
174,aqa,How was the hyacinth flower made?,out of Hyacinthus' blood,Yes.
175,aqa,What type of body did Hyacinthus have?,athletic,Yes.
176,aqa,Who will be the god of healing?,god of the plague,Yes.
177,aqa,Who else was given the title Aplu was given?,title that was given to the god Nergal,Yes.
178,aqa,Apollo is parallel to what other god?,"Shamash, Babylonian god of the sun",Yes.
179,aqa,"Which of the following is not a god: Aplu, Chryses or Apollo?",Chryses,Aplu
180,aqa,Who appeared at the duel other than Apollo and PanMidas?,Midas,Aplu
181,aqa,What weapon did Apollo obtain?,bow and arrows,Aplu
182,aqa,Name a characteristic of All Quiet on the Western Front?,serious,Aplu
183,aqa,What people were the source of the original concept of One Thousand and One Nights?,Indian,Aplu
184,aqa,What exactly does Arabian Nights come from originally?,"a compilation of folk tales from Sanskrit, Persian, and later Arabian fables",Aplu
185,aqa,What type of book is One Thousand and One Nights?,a compilation,Aplu
186,aqa,What from One Thousand and One Nights have been popular on their own?,Various characters,Aplu
187,aqa,What studies lead people such as Dawkins to conclude that the idea of God is myth?,"cosmology, evolutionary biology and neuroscience",Aplu
188,aqa,What was presented as stories using historical content and myths?,"Tragedy, as a dramatic genre",Aplu
189,aqa,What kind of text is the account of Kathmandu?,myths and legends,Aplu
190,aqa,What is the basis of the legend of Argos?,The myth of Danaus,Aplu
191,aqa,What could not be blindly believed?,myths,Aplu
192,aqa,What was one of the Greeks' religious practices the Romans picked up?,the cult of Apollo,Aplu
193,aqa,__ culture was influenced by Ancient Greek culture,Etruscan,.
194,aqa,How does the pigment relate to mythology?,it was the color of Venus,.
195,aqa,Rex Stout's fictional detective hero is in?,New York,Yes.
196,aqa,Who from the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun was vocally portrayed by one of the stars of Pulp Fiction?,Afro,Yes.
197,aqa,On what venue in the land formerly known as the New World was the cartoon adaptation of the comic from the Land of the Rising Sun that blended elements of Black American culture with warrior culture from the Land of the Rising Sun first aired?,Spike TV,Yes.
198,aqa,How were the relations between Chopin and George Sand portrayed?,fictionalized,Yes.
199,aqa,Superman is a popular pop fiction character that first appeared under which medium?,comics,Yes.
200,aqa,A text or narrative telling a fictional story about a character that can be read by a person is called a?,novel,Yes.
201,aqa,"Which of the following is not a fictional character: Link, Midna or chime?",chime,Link.
202,aqa,What was the name of the story type book?,Hayy ibn Yaqdhan,Link.
203,aqa,who wrote the story that claims John attempted conversion to Islam in exchange for military aide from the Almohad ruler?,Roger of Wendover and Matthew Paris,Link.
204,aqa,who wrote the story that is considered to be untrue by modern historians?,Roger of Wendover and Matthew Paris,Link.
205,aqa,What is the origin of the story of the great flood?,biblical,Link.
206,aqa,What is unique about Samoan dance?,tells a story,Link.
207,aqa,What describes how the story of God has been passed on through the times?,trans-generational,Link.
208,aqa,What goes against popular opinion?,"God is an imaginary entity only, with no basis in reality",Link.
209,aqa,Who do the atheists credit with passing down the myth of a creator?,humans,Link.
210,aqa,What accomplishment have people credited a God with over the years?,to have created the universe,Link.
211,aqa,What piece of literature is like a small retelling of the Aeneid?,Metamorphoses,Link.
212,aqa,"Which of the following was NOT worshipped, Silius or Virgil?",Silius,Link.
213,aqa,"Which of these three -- the Eclogues, Georgics and Aeneid -- became most standard?",the Aeneid,Link.
214,aqa,What is Virgil's most well known work?,Aeneid,Link.
215,aqa,What way of viewing theories in transition from myth to actual science to be detrimental to the advancement of theories?,dogmas,Link.
216,aqa,What elected office does the head of the society hold?,Senator,Link.
217,aqa,What overall thing is idealism concerned with?,society,Link.
218,aqa,How did the mayor pay his debt to society?,house arrest and probation,Link.
219,aqa,Why did Mayor Bob Filner resign?,"pleaded guilty to one felony count of false imprisonment and two misdemeanor battery charges, and was sentenced to house arrest and probation",Link.
220,aqa,Who was the defendant in the case in the 1990s that dealt with religious institutions and government?,Grumet,Link.
221,aqa,Who ran initially ran universities?,they were self-regulating,Link.
222,aqa,How were people ranked within a community?,they were self-regulating and determined the qualifications of their members,Link.
223,aqa,What started the society?,The department had bought an early AMPEX Type A 1-inch videotape recorder,Link.
224,aqa,What group of people were below men in society?,Women,Link.
225,aqa,What many people could actually vote?,Less than a quarter of adult males had voting rights; far fewer could actually exercise them,Link.
226,aqa,What happened to some of the slaves that were sold or traded?,they were sometimes acculturated and absorbed into the conquerors' society,Link.
227,aqa,What is the current name of the largest slave trading post?,Bight of Bonny,Link.
