,question,answer,Base_test,comparison
0,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,The woman who shot and wound as he entered his New York studio was Valerie Solanas,F
1,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,Silvio Berlusconi,F
2,What was the first name of the mother of US President Barack Obama?,stanley,Michelle Obama,F
3,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,The famous English highwayman was hanged for horse-stealing in April 1739,F
4,"In 1968, ‚ÄòThe Troubles‚Äô began in which European country between elements of the nationalist community and the unionist community?",northern ireland,"In 1968, the Troubles began in Northern Ireland",T
5,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,The Czechoslovak leader was the leader of the Communist Party of Czechoslovakia,F
6,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,George III,T
7,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,She has led the opposition since May 2010,F
8,Which country was founded by Muhammed Ali Jinnah?,pakistan,Pakistan,T
9,"‚ÄúDreams from my father, a story of race and heritance‚Äù is about which politician?",barack obama,It is about the German politician who was the first to propose a law that would allow people to vote for themselves,F
10,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,"The name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed was ""Mohammed""",F
11,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,"The French chemist, Louis-François-Auguste-Joseph-François-Joseph-Louis-François-Joseph-Louis-François-Joseph-Louis-François-Joseph-Louis-",F
12,Which modern day country was known until 1981 as British Honduras?,belize,The country was known as British Honduras until 1981,F
13,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,Beltane is celebrated in the month of May,T
14,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,"The name of the Argentine Navy cruiser was ""Argentina""",F
15,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,Offering is a term for a sacrifice,T
16,Tallinn is the capital of which country?,estonia,Tallinn is the capital of Estonia,T
17,At which castle was Mary Queen of Scots beheaded?,fotheringhay,At which castle was Mary Queen of Scots beheaded?,F
18,What is the capital of the U S state of Pennsylvania?,harrisburg,"The capital of the U S state of Pennsylvania is located in Harrisburg, Pennsylvania",T
19,What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company,The organisation was formed in 1670 when King Charles II granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area,F
20,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,"The first robbery for which it is known that Jesse James was responsible for the murder of the cashier, Captain John Sheets, occurred in 1887",F
21,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan,"The 7th Earl of Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",F
22,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson,"The word ""Indian Removal Act"" was not the original word for the act",F
23,"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist,He was a lawyer,F
24,"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington,"The tree was chopped down by a man named ""The Man""",F
25,"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad,Harriet Tubman was a conductor on the Underground Railroad,T
26,What is the name of George Galloway's political party?,respect,The name of the political party is the Nationalist Party,F
27,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station,The original use of the building was to house the Tate Gallery,F
28,"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin,"Track, Bristol, Piper, Trig and Willow are children who have been named after famous people",F
29,Which post in England and Wales is held by Anne Owers?,chief inspector of prisons,Anne Owers is held by the University of Cambridge,F
30,"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby,"He was known as ""the Kingmaker""",F
31,Who lead the enquiry into the Iraq war?,sir john chilcot,The Bush administration,F
32,Which Aztec ruler was deposed by Cortez?,montezuma,The Aztec ruler was deposed by Cortez,F
33,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria,The assassination attempt was made on the Queen,F
34,Libya was a colony of which country from 1911 to 1947?,italy,Libya was a colony of which country from 1911 to 1947,F
35,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii,The wife of King Frederick the Great of Germany,F
36,Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia,The country's longest-serving Prime Minister was Robert Gordon Menzies,F
37,The revolutionary group the Sandinistas were active in which country?,nicaragua,Nicaragua,T
38,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",syriza,The leader of the Syriza party is the leader of the New Democracy party,T
39,The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,octoberfest,The betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,F
40,"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",diego garcia,The Chagos Archipelago is a British territory,F
41,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",george blake,The name of the spy was John D. Hinckley Jr.,F
42,"An American aided coup in Chile in 1973, deposed which President?",salvador allende,The coup was led by a Chilean named Salvador Allende,T
43,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,south carolina,The state of New York,F
44,When Laurence Olivier became Baron Olivier where was he the Baron of,brighton," House of Lords?
A: He was the Baron of the House of Lords",F
45,What name is given to the Spanish method of execution by strangulation,garotte,": The Spanish method of execution by strangulation is called the ""cage""",F
46,"June 5, 2004 saw the death of what man, the 40th President of the United States?",ronald reagan,"The 40th President of the United States died on June 5, 2004",F
47,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",jfk assassination,The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
48,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,"The 42nd state to join the Union on Nov 11, 1889 was Delaware",F
49,Who succeeded Theodore Roosevelt as President?,william howard taft,"Theodore Roosevelt succeeded as President because he was the first person to use the word ""nigger""",F
50,From which country did Angola achieve independence in 1975?,portugal,From Angola,F
51,Which was the first European country to abolish capital punishment?,norway,The Netherlands,F
52,Which prince is Queen Elizabeth II's youngest son?,edward,The prince is the son of the Duke of Edinburgh,F
53,Who became US Vice President when Spiro Agnew resigned?,gerald ford,"It was a Republican, Spiro Agnew",F
54,The US signed a treaty with which country to allow the construction of the Panama Canal?,columbia,The US signed a treaty with which country to allow the construction of the Panama Canal,F
55,Which Amendment to the Constitution brought in prohibition in 1920?,18th,The amendment to the Constitution brought in prohibition in 1920,F
56,Which oil scandal hit the US in 1924?,teapot dome scandal,The oil scandal hit the US in 1924,F
57,Where did Idi Amin rule from 1971-1979?,uganda,He ruled from Uganda,T
58,What is the former name of the People's Republic of Venin?,dohomey,The former name of the People's Republic of Venin is the People's Republic of Venin,F
59,Who was the Egyptian president who was assassinated in 1981?,sadat,"It was the president of Egypt, Hosni Mubarak",F
60,From which European country did Angola achieve independence in 1975?,portugal,From Angola,F
61,Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,winnie mandela,"The woman was a student at the University of California, Berkeley",F
62,In which country did General Jaruzelski impose marital law in 1981?,poland,In which country did General Jaruzelski impose marital law in 1981?,F
63,Who was President Reagan's Secretary for Defense from 1987 to 1989?,frank carlucci,Ronald Reagan,F
64,In which decade of the 20th century was the FBI set up?,1900s,The FBI was set up in the late 1930s,F
65,Richard Nixon was Vice President to which US state?,dwight eisenhower,California,F
66,Thomas Marshal was Vice President to which US President?,woodrow wilson,Thomas Marshal was Vice President to which US President,F
67,Who preceded Hosni Mubarak as President of Egypt?,anwar el sadat,"Mubarak was the son of Mubarak, the brother of Mubarak, and the uncle of Mubarak",F
68,Which South African President repealed key parts of apartheid law in 1991?,fw de klerk,"The President of South Africa, Nelson Mandela",F
69,Which general introduced martial law in Poland in 1981?,jaruzelski,General Wojciech Jaruzelski,T
70,In what decade were Zebra crossings introduced into law in the UK ?,1950 s,In the late 1960s,F
71,"In March 2010, which country passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses?",iceland,The United States passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses,F
72,Raines Law of 1896 related to the sale of what in New York State?,liquor,The law states that the sale of what in New York State is prohibited,F
73,Under which Puritan leader did the English parliament pass a law banning Christmas in 1647?,oliver cromwell,The Puritans passed the law because they wanted to celebrate Christmas in a way that was more religious than secular,F
74,"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",mother earth,"Pachamama is a Latin word meaning ""the whole nine yards""",F
75,What country announced a sales ban on the yeast extract Marmite in 2011 due to its law forbidding vitamin additives?,denmark,The country that announced the ban was the United Kingdom,F
76,"Upon the change to British regal succession law removing gender inequality, the Princess Royal (Anne) advances how many positions closer to the Crown?",six,The Princess Royal advances how many positions closer to the Crown,F
77,What significant law relating to literary and artistic works was first introduced in 1709?,copyright,The first significant law relating to literary and artistic works was introduced in 1709,F
78,Which law enforcement agency was established in 1908 as a branch of the U S Department of Justice?,f b i,The U.S. Department of Justice was established in 1908 as a branch of the U.S. Department of Justice,F
79,What is the name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years?,ancient lights,"The name of the English law is the ""Laws of the City of London""",F
80,When was English law changed to enable a child to be made legitimate by the later marriage of its parents?,1926,"In the late 1500s, the law was changed to allow a child to be made legitimate by the later marriage of its parents",F
81,"""What is the name given to the code of Roman law that was """"published"""" with the approval of the Roman Republic in 450 BC?""",twelve tables,"The code of Roman law was """"published"""" with the approval of the Roman Republic in 450 BC",F
82,"What is prohibited by an unusual law that has been passed in Lanjarn, Spain, in three settlements in southern France: (Cugnaux, Le Lavandou & Sarpourenx), and has been proposed for Biritiba-Mirim, Brazil?",death,The law prohibits the sale of alcohol in the settlements,F
83,"In which country do these laws apply: the 1975 State Protection Act (Article 10 b), which grants the government the power to imprison persons for up to five years without a trial, and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a)?",myanmar,The 1975 State Protection Act (Article 10 b) and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a) are both laws passed by the United States Congress,F
84,"The Volstead Act, that became law in the USA on 28 October 1919, concerned what?",prohibition of alcohol,The Volstead Act was a law that prohibited the sale of alcohol,F
85,"""The """"Support Our Law Enforcement and Safe Neighborhoods Act"""" signed into law in the US state of Arizona on 23 April 2010 to take effect on 28 July 2010, concerns what?""",illegal immigration,The law is about what,F
86,"What was the name of the English law court, subsequently abolished in 1641, that had a mandate from Henry VII to deal with nobles who were too powerful to be punished by ordinary courts?",star chamber,"The name of the English law court, subsequently abolished in 1641, that had a mandate from Henry VII to deal with nobles who were too powerful to be punished by ordinary courts?",F
87,"""Who wrote, in 1894: """"In its majestic equality, the law forbids rich and poor alike to sleep under bridges, beg in the streets and steal a loaf of bread""""?""",anatole france,"The word ""Rich"" is a corruption of the word ""rich""",F
88,What is the name for a system of law based on Islamic texts?,sharia,The name for a system of law based on Islamic texts is the Shariah system,T
89,What exam must be passed to practice law in the United States?,bar exam,The exam must be passed by passing a written test,F
90,"""Who said """"A week in politics is a long time""""?""",harold wilson,"""Who said """"A week in politics is a long time""""?"" is a joke",F
91,"The Guardian cartoonist, Steve Bell, always portrayed which politician with his Y-fronts outside his trousers?",john major,The cartoonist always portrayed the politician with his Y-fronts outside his trousers,F
92,Which politician was portrayed as a bulldog by cartoonist Steve Bell?,john prescott,The cartoonist was a Republican,F
93,"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",lebanon,"The phrase ""Cedar Revolution"" was coined by Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, in 2005",F
94,To which political party does Australian Prime Minister Kevin Rudd belong?,labour party,The Australian Labor Party,F
95,In which country did General Jaruzelski impose martial law in 1981?,poland,In which country did General Jaruzelski impose martial law in 1981?,F
96,What was the subject of French sociologist √âmile Durkheim's 1897 work that studied Catholic and Protestant populations and that resulted in sociology getting established on its own?,suicide,Durkheim's work on Catholic and Protestant populations was based on the work of the French sociologist Émile Durkheim,F
97,"In American politics, what is the symbol of the Republican Party?",elephant,The Republican Party symbol is a red cross on a blue background,F
98,What is the symbol of the democratic Party in American politics?,donkey,"The symbol of the democratic Party is the ""D""",F
99,"""Politics. Who in his speech to the House of Commons on the 4th April 1940 said, """"Hitler has missed the bus""""?""",neville chamberlain,"The word ""politics"" is not an acronym",F
100,"In UK politics, who first challenged Margaret Thatcher for leadership of the Conservative Party in 1990?",michael heseltine,The first person to challenge Margaret Thatcher for leadership of the Conservative Party in 1990 was the Labour Party's Tony Benn,F
101,Which political commentator has presented both Weekend World and A Week in Politics?,peter jay,The political commentator who has presented both Weekend World and A Week in Politics is the one who has presented both Weekend World and A Week in Politics,F
102,"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",budget,The broadcast was live from the House of Commons,F
103,"In British politics, who succeeded Jeremy Thorpe as acting leader of the Liberal Party in 1976?",jo grimond,The Liberal Party was founded in 1885 by the Liberal Party of England and Wales,F
104,"In UK politics, what position did Labour politician Manny Shinwell hold from 1950-51?",minister of defence,He was a member of the House of Commons from 1950-51,F
105,"In politics, psephology is the study of what?",elections,The study of what,F
106,"In UK politics, who defeated Ted Heath in the Tory leadership campaign of 1975?",margaret thatcher,The winner of the leadership election was Michael Foot,F
107,"In British politics, what is the only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman?",chancellor of exchequer,The only one of the 'Four Great Offices of State' never held by a woman is the office of the Prime Minister,F
108,"In UK politics, what flower is the emblem of the Labour Party?",rose,The flower is the emblem of the Labour Party,F
109,In US politics who replaced Spiro Agnew as Richard Nixon's vice-president in 1973?,gerald ford,"The word ""nixon"" came from the word ""nixon""",F
110,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983?,grenada,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983,F
111,What career did Adolf Hitler pursue before getting into politics?,painting,He was a Nazi,F
112,"Which board game is based around European power politics leading up,to the First World War?",diplomacy,"The game is based on the game ""The Game of the Century""",F
113,In German politics who was known as the Iron Chancellor?,bismarck,The Iron Chancellor was a German politician who served as Chancellor of Germany from 1806 to 1809,F
114,"According to von Clausewitz, War is the continuation of what, by other means?",politics,War is the continuation of the struggle for existence,F
115,Sir William Vernon Harcourt was Home Secretary in which British Prime Minister‚Äôs government?,william gladstone,Home Secretary Harcourt was Home Secretary in which British Prime Minister‚Äôs government,F
116,Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country?,peru,Venezuela,F
117,Who was deported from the US aged 89 to face a war crime trial in Germany?,john demjanjuk,The person was deported from the US aged 89 to face a war crime trial in Germany,F
118,What is a legal defence for being somewhere other than at the scene of a crime?,alibi,A legal defence is a defence that is not based on evidence,F
119,"Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966?",lsd,"The possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966",F
120,"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence?",year and day,The charge of murder could apply only if the victim died within the period of the offence,F
121,The establishment of which law officers dates from 1194?,coroners,The establishment of which law officers dates from 1194,F
122,Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?,volstead act,"The National Prohibition Act was popularly known as the ""National Prohibition Act""",F
123,In law what name is given to a written voluntary statement given under oath?,affidavit,"The word ""voluntary"" is not an acronym",F
124,Which European country recently passed a law legalizing divorce?,malta,The Netherlands,F
125,What type of law court has replaced the Assize Court?,crown court,The type of law court has replaced the Assize Court,F
126,"What is the legal term, used in law to describe the state of those related through marriage?",affinity,"The legal term used in law to describe the state of those related through marriage is ""married""",F
127,A formal agreement enforceable by law is what?,contract,A formal agreement is enforceable by law,F
128,"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",435,One hundred and five,F
129,How long does a US president have to consider a bill before he must either sign it into law or return it to Congress as a veto?,10 days,A president has to consider a bill for at least 60 days before he must sign it into law or return it to Congress as a veto,F
130,"September 22, 1961 saw the passage of Public Law 87-293, which declares ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for service abroad and willing to serve, under conditions of hardship if necessary, to help the peoples of such countries and areas in meeting their needs for trained manpower.""",peace corps,The f-word was originally a term for a person who is not a citizen of the United States,F
131,What degree does a US law school graduate get?,jd,"A law degree from the University of California, Berkeley",F
132,For what profession did Mahatma Ghandi train?,lawyer,He trained as a doctor,F
133,"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",charles manson,The crime was the murder of a young man named John Hinckley Jr.,F
134,"Who was the Government Chief Whip who resigned in October 2012, following accusation that he swore at police officers and called them 'plebs'?",andrew mitchell,The Government Chief Whip resigned following an allegation that he swore at police officers and called them 'plebs',F
135,In what year did Britain have a Labour government for the first time?,1924,"In the year of the first Labour government, 1885",F
136,"Which country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power?",tunisia,"The country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power",F
137,Who became Leader of the Opposition when the coalition government was formed in May 2010?,harriet harman,The Prime Minister,F
138,Who is Secretary of State for the Depsrtment of Communities and Local Government?,eric pickles,The Secretary of State for the Departments of Communities and Local Government is the person who is in charge of the Departments of Communities and Local Government,F
139,"Currently held by John Kerry, what American governmental role is equivalent to that of Foreign Secretary in the UK?",secretary of state,The American government is equivalent to that of Foreign Secretary in the UK,F
140,"Which government agency has its headquarters at Explorer House, Southampton?",ordnance survey,The U.S. Department of Energy,F
141,Labour Party politician Aneurin Bevan is known for his role in establishing what seminal institution in Great Britain?,national health service,The British Library,F
142,British politician Norman Tebbit created controversy in 1990 commenting on the perceived lack of loyalty of South Asian and Caribbean immigrants towards the English team playing which game?,cricket,"The word ""Norman Tebbit"" is not an acronym",F
143,Name the Russian politician shot and killed near the Kremlin on 27th February 2015?,boris nemtsov,Vladimir Putin,F
144,"Which Chancellor, executed in 1535, became the patron saint of politicians?",sir thomas more,John Adams,F
145,"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",christopher soames,"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",F
146,Which Soviet politician and diplomat was the principal Soviet signatory of the Nazi-Soviet Non-Aggression Pact of 1939?,vyacheslav molotov,Nikita Khrushchev,F
147,"October 11, 1950 saw the birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",patty murray,"The birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",F
