,index,question,answer,Base_test,comparison
0,1,The Yalu river forms a sort of natural border between China and which of its neighbours?,north korea,The Yalu river forms a sort of natural border between China and which of its neighbours?,F
1,2,Gjetost is the national cheese of which country?,norway,Norway,T
2,3,What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,mallard,"The locomotive was the ""Pom""",F
3,4,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,The person who shot and wounded her was a man named John Travolta,F
4,5,Which is the highest waterfall in the world?,angel falls,The highest waterfall in the world is the waterfall in the Grand Canyon,F
5,6,Which country was founded by Muhammed Ali Jinnah?,pakistan,Pakistan,T
6,7,Which Roman coin was equivalent in value to four sesterces?,denarius,The coin was equivalent in value to four sesterces,F
7,8,Cathay is a poetic name for which country?,china,China,T
8,9,The region of Catalonia is part of which country?,spain,Spain,T
9,10,The Rio Grande forms the border of Texas with what other area?,Mexico,The Rio Grande forms the border of Texas with what other area?,F
10,11,What city will host the 2016 Olympics?,rio de janeiro,The city will host the 2016 Olympics,F
11,12,The Kina is the monetary unit of which Oceania country?,papua new guinea,The Kina is the monetary unit of which Oceania country?,F
12,13,Libya was a colony of which country from 1911 to 1947?,italy,Libya was a colony of which country from 1911 to 1947,F
13,14,Which city was the setting for Shakespeare’s play Measure for Measure?,vienna,It was the setting for the play Measure for Measure,F
14,15,"In 1964, who became the youngest winner of the Nobel Peace Prize?",martin luther king,Albert Einstein,F
15,16,In which country was England Rugby Union player Dylan Hartley born?,new zealand,England was founded in 1871,F
16,17,In which country is the castle that gives the Habsburg dynasty its name?,switzerland,The castle that gives the Habsburg dynasty its name is in Austria,F
17,18,Wanlockhead is the highest village in which European country?,scotland,England,F
18,19,"Said to be the birthplace of the rules of Association Football, Parker’s Piece is in which English city?",cambridge,Parkerâ€™s Piece is in which English city?,F
19,20,Which Indian born author who lived from 1903 to 1950 had the real name Eric Arthur Blair ?,george orwell,Eric Arthur Blair was a British author who lived from 1903 to 1950,F
20,21,In what Sudan city was Gillian Gibbons imprisoned for the blasphemous naming of a teddy bear incident?,khartoum,"In the city of Khartoum, Sudan",T
21,22,Which team was the first to score a 'Golden Goal' in the soccer World Cup Finals?,france,The team that scored the Golden Goal was the team that won the World Cup,F
22,23,The Orinoco river meets the sea on which country's coast?,venezuela,Venezuela,T
23,24,"""Whose motto is """"Je Maintiendrai""""?""",netherlands,"""Je Maintiendrai"" is a French phrase meaning ""I will maintain""",F
24,25,What gladiator famously led a slave revolt against Rome?,spartacus,The gladiator was a Roman soldier who fought in the Second Punic War,F
25,26,In which US state is New Haven?,connecticut,"New Haven, Connecticut",T
26,27,In what year was the Battle of Stamford Bridge?,1066,The Battle of Stamford Bridge was fought in the year of 1347,F
27,28,Of which country is Manama the capital?,bahrain,The capital of Bahrain is Manama,T
28,29,In which modern country is the ancient city of Petra?,jordan,In which modern country is the ancient city of Petra?,F
29,30,The battle of 'Flodden Field' took place in which English county?,northumberland,The battle of 'Flodden Field' took place in which English county?,F
30,31,Nouakchott is the capital of which Islamic African republic?,mauretania,Nouakchott is the capital of which Islamic African republic,F
31,32,In which Canadian city is the Lion's Gate Bridge?,vancouver,In which Canadian city is the Lion's Gate Bridge?,F
32,33,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",south african,Christian Barnard was a British surgeon,F
33,34,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,The 42nd state to join the Union was New York,F
34,35,Which American-born Sinclair won the Nobel Prize for Literature in 1930?,sinclair lewis,Sinclair did not win the Nobel Prize for Literature in 1930,F
35,36,From which country did Angola achieve independence in 1975?,portugal,From Angola,F
36,37,Which country does the airline Air Pacific come from?,fiji,"The word ""Air Pacific"" comes from the name of the airline",F
37,38,Which is the largest of the Japanese Volcano Islands?,iwo jima,The largest of the Japanese Volcano Islands is the Kiso Island,F
38,39,In which country was Ursula Andrews born?,switzerland,In which country was Ursula Andrews born?,F
39,40,What is the former name of the People's Republic of Venin?,dohomey,The name of the People's Republic of Venin is Venin,F
40,41,Which country was called Upper Volta until 1984?,burkina faso,The country was called Upper Volta until 1984,F
41,42,Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,tutankhamen,The king was the pharaoh of the 18th Dynasty,F
42,43,On the border of which two countries is Victoria Falls?,zambia and zimbabwe,The border is between the two countries of New South Wales and Victoria,F
43,44,What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,great rift valley,"The name of the volcanic valley that runs from the Sinai peninsula to central Mozambique is the ""Suez Valley""",F
44,45,What is the capital of Kenya?,nairobi,Nairobi,T
45,46,Which country mainly makes up the Horn of Africa?,somalia,The United States,F
46,47,What is the capital of Sierra Leone?,freetown,The capital of Sierra Leone is Freetown,T
47,48,Which country is the island of Zanzibar part of?,tanzania,The island of Zanzibar is part of Tanzania,T
48,49,What is Africa's largest country?,Algeria,It is the Democratic Republic of the Congo,F
49,50,In which country did General Jaruzelski impose marital law in 1981?,poland,In which country did General Jaruzelski impose marital law in 1981?,F
50,51,In which year was Bloody Sunday in Londonderry?,1972,In which year was Bloody Sunday in Londonderry?,F
51,52,In which decade of the 20th century was Father's Day first celebrated?,1910s,In the 1950s,F
52,53,What is the native country of Agatha Chrisitie's detective Hercule Poirot?,belgium,"The word ""Agatha"" is not an acronym",F
53,54,Who was British Prime Minister when World War II broke out?,neville chamberlain,Winston Churchill,F
54,55,To whom did the Bee Gees pay tribute in Tapestry Revisited?,carole king,To the Bee Gees,F
55,56,Who was Israeli Prime Minister from 1969 to 1974?,golda meir,Yitzhak Rabin,F
56,57,The Bourbon dynasty began to rule which country from 1700 and still do?,spain,The Bourbon dynasty began to rule which country from 1700 and still do?,F
57,58,Which Royal dynasty followed the Normans?,plantagenet,The Normans were the first dynasty to rule England,F
58,59,The Joseon Dynasty built the ‘Five Grand Palaces’ in which capital city?,seoul,Seoul,T
59,60,King Richard III was the last of the Plantagenet dynasty and last king of which royal house?,house of york,Richard III was the last Plantagenet king,F
60,61,What is the family name of the ruling dynasty of Monaco?,grimaldi,The family name of the ruling dynasty of Monaco is the House of Grimaldi,T
61,63,What is the current name of the country that was ruled by the Pahlavi dynasty from 1925 to 1979?,iran,Iran,T
62,64,"The Romanov Dynasty (Peter I, Catherine I, Peter II, Anna, Ivan VI, Elizabeth, Peter III, Catherine II the Great, Paul I, Alexander I, Constantine I, Nicholas I, Alexander II , Alexander III and Nicholas II) ruled which country?",russia,Russia,T
63,65,What dynasty did King Henry VIII and Elizabeth I belong to?,tudors,The Tudors,T
64,66,Which dynasty has ruled the Netherlands since 1815?,house of orange,The Dutch dynasty has ruled the Netherlands since 1815,F
65,67,The Trưng Sisters who successfully rebelled against the Chinese Han-Dynasty in the 1st century AD are regarded as national heroines in which country?,vietnam,The TrÆ°ng Sisters are not national heroines in which country,F
66,68,Which dynasty ruled China in the year 1AD?,Xia,The dynasty ruled China in the year 1AD,F
67,69,Who was the last king of the Hanoverian dynasty?,william iv,Henry VIII,F
68,70,What year marked the end of the Chinese 'Ming' Dynasty?,1644,The year marked the end of the Chinese 'Ming' Dynasty,F
69,71,"Home to the world's largest river delta, what river is sacred to those of the Hindu religion?",ganges,The river is sacred to the Hindu religion because it is the source of the Ganges River,T
70,72,The religion of vodou (or voodoo) originated in what country?,haiti,The religion of vodou originated in what country?,F
71,73,In which religion do people worship communally in a Fire Temple?,zoroastrianism,In which religion do people worship communally in a Fire Temple?,F
72,74,Theravada is a branch of which religion?,buddhism,Theravada is a branch of Buddhism,T
73,75,A Gurdwara is a place of worship in which religion?,sikhism,A Gurdwara is a place of worship in which religion is practiced,F
74,76,"In religion, Copts are native Christians of which country?",egypt,Copts are native Christians of Egypt,T
75,77,The Vedas are ancient texts relating to which religion?,hinduism,The Vedas are ancient texts relating to which religion?,F
76,78,Tanach’ describes the whole of the scriptures of which religion?,judaism,Tanachâ€™ describes the whole of the scriptures of which religion,F
77,79,In which religion is there one god called Ahura Mazda?,zoroastrianism,There is no evidence that there is one god called Ahura Mazda,F
78,80,"In religion, Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what?",archangels,"Michael, Raphael, Gabriel, Uriel, Chamuel, Jophiel and Zadkiel are all what",F
79,81,Digambara and Svetambara are the two major sects in which religion?,jainism,The two major sects in which religion is practiced are the Digambara and Svetambara sects,F
80,82,"In religion, who traditionally sits on the Sedia Gestatoria?",pope,The Sedia Gestatoria is a traditional seat for the Pope,T
81,83,Which animal is the symbol of the Rastafari religion?,lion,The Rastafari symbol is a black cat,F
82,84,"In religion, what is the name of the place where Sikhs come together for congregational worship?",gurdwara,The name of the place where Sikhs come together for congregational worship is the Sikh Temple in New York City,F
83,85,"In religion, according to Islam, who was the last of the prophets?",muhammed,Muhammad,F
84,86,Wicca is the religion or practice of what?,witchcraft,Wicca is a religion or practice of witchcraft,T
85,87,"In religion, what are the Zoroastrian books of Sacred Texts called?",avesta,"The books of Sacred Texts are called the ""Sacred Books of the East""",F
86,88,Which Afro-Caribbean religion is also known as ‘The Rule of Osha’?,santeria,"The word ""Osha"" is not an acronym",F
87,89,Which religion calls outsiders ‘The English’?,amish,"The word ""English"" is not an acronym",F
88,90,Smiriti is a religious text containing traditional teaching in which religion?,hinduism,"The word ""smiriti"" is not an acronym",F
89,91,"""Who is said to be """"the father of history""""?""",herodotus,"The word ""father"" is not an acronym",F
90,92,"Which 13th-century Mongol warlord controlled probably a larger area than anyone in history, from the Yellow Sea to the Black Sea?",genghis khan,"Genghis Khan controlled a larger area than anyone in history, from the Yellow Sea to the Black Sea",T
91,93,After which famous person in history was the teddy bear named?,theodore roosevelt,"The teddy bear was named after the famous American actor, actor, and comedian, Charlie Chaplin",F
92,94,International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,florence nightingale,The International Nursing Day was chosen as May 12th as it is the anniversary of the birth of which famous person from history?,F
93,95,The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country?,australia,The Rum Rebellion of 1808 was the only successful armed takeover of government in the history of which country?,F
94,96,"In the Classic Edition of the board game Trivial Pursuit, what colour is the category for history?",yellow,The category for history is blue,F
95,97,"In British history, how many Tolpuddle Martyrs were there?",six,"There were 2,000 Tolpuddle Martyrs",F
96,98,The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’?,regency era,The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’,F
97,99,In English history what colour was the rose of the House of York?,white,The rose of the House of York was a pale rose,F
98,100,"In ancient history, which Carthagian general beat the Romans at Cannae in 216 BC?",hannibal,Hannibal,T
99,101,What disappeared as a result of Yongying system?,Manchu dominance in Qing military establishment,The Yongying system was a system that was used to teach children to read,F
100,102,What is the name for one of the three major groups of the Jurchens?,Jianzhou,The Jurchens are a group of people who are members of the Russian Orthodox Church,F
101,103,Buddhism appropriated what?,Shinto,"The word ""Buddhism"" is not an acronym",F
102,104,China Mobile's industry is?,telecommunication,China Mobile is a Chinese telecommunications company,T
103,105,Which institution placed in the Palais Royal does not judge constitutionality of laws?,Conseil d'État,The Palais Royal does not judge constitutionality of laws,F
104,106,What relaxing practice is important to most Buddhists?,meditation,Relaxing is important to most Buddhists because it helps them to be more relaxed,F
105,107,What would Siddhartha be if not a holy man?,great king,Siddhartha is a holy man because he is a holy man,F
106,108,Where did Mahayna Sutras initiially move to after the 1st century?,China,From India,F
107,109,Who did Kim Il-sung commit atrocities against?,Republic of Korea's intelligentsia,Kim Il-sung committed atrocities against the Japanese,F
108,110,"What, between President and President-Elect, was Eisenhower's position by the end of 1952?",president-elect,He was a Republican,F
109,111,What were constructed in high amounts during the time spanning the 4th to 8th century?,many smaller ones,The amount of material constructed during the time spanning the 4th to 8th century is unknown,F
110,112,What type of currency did the Germanic states base their own on?,Roman and Byzantine,The Germanic states used the Roman currency,F
111,113,Who was the leader in the Republic of China who had the most power in modern history?,Sun Yat-sen,The leader in the Republic of China was the leader of the Republic of China,F
112,114,When did the first war of the Spanish war leading to independence began?,"early 19th century, from 1808",The first war of the Spanish war led to independence began in 1512,F
113,115,"Who captured 15,000 soldiers after the Fall of Singapore?",The Japanese,The British captured the soldiers after the fall of Singapore,F
114,116,Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned when?,Between the 8th and 18th centuries,Damascus and Tabriz are examples of areas that contributed to a period of pottery innovation that spanned when,F
115,117,Where might Islam have had some influence?,during the Crusades,"The word ""Islam"" is not an acronym",F
