,Question,answer,Base_test,comparison
0,"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,A: The person who shot and wounded Valerie Solanas as he entered his New York studio,F
1,"Which former Italian Prime Minister was kidnapped by The Red Brigade in 1978, and killed after 55 days in captivity?",aldo moro,A: Silvio Berlusconi,F
2,What was the first name of the mother of US President Barack Obama?,stanley,A: Michelle Obama,F
3,Which famous English highwayman was hanged for horse-stealing in April 1739?,dick turpin,A: John Wilkes,F
4,"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",northern ireland,A: The Troubles began in Northern Ireland,T
5,In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,alexander dubcek,A: The Czechoslovak Communist Party was chosen as leader of the Communist Party of Czechoslovakia,F
6,"In the year 1800, who was King of Great Britain and King of Ireland?",george iii,A: George III,T
7,Where has Baroness Royall of Blaisdon led the opposition since May 2010?,house of lords,A: Baroness Royall of Blaisdon led the opposition since May 2010,F
8,Which country was founded by Muhammed Ali Jinnah?,pakistan,A: Pakistan,T
9,"“Dreams from my father, a story of race and heritance” is about which politician?",barack obama,A: The story of race and heritance is about the German politician Angela Merkel,F
10,What was the name of the British teacher jailed in Sudan in 2007 for allowing a teddy bear to be called Mohammed?,gillian gibbons,"A: The name of the British teacher was ""Mohammed""",F
11,"Which French chemist, regarded as the father of modern chemistry, was guillotined in 1794?",lavoisier,A: Louis Pasteur,F
12,Which modern day country was known until 1981 as British Honduras?,belize,A: The United States,F
13,In which month is the Gaelic festival of Beltane traditionally celebrated ?,may,A: Beltane is celebrated in the month of May,T
14,What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,general belgrano,A: La Cisterna,F
15,What is an oblation in relation to a god? Offering; Curse; Damnation; or Church?,offering,A: Offering is a curse,T
16,Tallinn is the capital of which country?,estonia,A: Estonia,T
17,At which castle was Mary Queen of Scots beheaded?,fotheringhay,A: At which castle was Mary Queen of Scots beheaded?,F
18,What is the capital of the U S state of Pennsylvania?,harrisburg,A: The capital of the U S state of Pennsylvania is Harrisburg,T
19,What organisation was formed in 1670 when King Charles II of England granted a charter to Prince Rupert and others to give them large tracts of land and the trading rights over a large area?,hudson s bay company,A: The Royal Society was formed in 1670,F
20,"In which year was the first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",1869,"A: The first robbery for which it is known that Jesse James was responsible, of the Davies's County Savings Association in Gallatin, Missouri, during which Jesse shot and killed the cashier, Captain John Sheets?",F
21,"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",cardigan,A: The 7th Earl of Brudenell,F
22,"""Which US president was behind """"The Indian Removal Act"""" of 1830, which paved the way for the reluctant and often forcible emigration of tens of thousands of American Indians to the West?""",andrew jackson,A: The US president was behind the Indian Removal Act,F
23,"What profession was Jean-Paul Marat, noted for his involvement in the French Revolution at the end of the 18th century?",journalist,A: Marat was a French revolutionary,F
24,"Who supposedly chopped down a cherry tree, but couldn't lie about it?",george washington,"A: The cherry tree was chopped down by a man named ""Cherry""",F
25,"""On what """"railroad"""" was Harriet Tubman a conductor?""",underground railroad,A: Harriet Tubman was a conductor on the Underground Railroad,T
26,What is the name of George Galloway's political party?,respect,A: The name of the political party is the Nationalist Party,F
27,What was the original use of the building which now houses the Tate Modern Art Gallery in London?,bankside power station,A: The Tate Modern Art Gallery was originally built as a museum,F
28,"Who has children called Track, Bristol, Piper, Trig and Willow?",sarah palin,"A: Track, Bristol, Piper, Trig and Willow are all children",F
29,Which post in England and Wales is held by Anne Owers?,chief inspector of prisons,A: The post is held by Anne Owers,F
30,"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",earl of derby,"A: Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",F
31,Who lead the enquiry into the Iraq war?,sir john chilcot,A: The Bush administration led the enquiry into the Iraq war,F
32,Which Aztec ruler was deposed by Cortez?,montezuma,A: The Aztec ruler was deposed by Cortez,F
33,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",queen victoria,A: The assassination attempt failed,F
34,Libya was a colony of which country from 1911 to 1947?,italy,A: Libya was a colony of which country from 1911 to 1947,F
35,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,george iii,A: King Frederick William IV of Prussia,F
36,Robert Gordon Menzies was which country's longest-serving Prime Minister?,australia,A: The United Kingdom,F
37,The revolutionary group the Sandinistas were active in which country?,nicaragua,A: Nicaragua,T
38,"The Prime Minister of Greece, Alexis Tsipras, is the leader of which political party?",syriza,A: The leader of the Greek Party of Freedom,F
39,The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,octoberfest,A: The betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,F
40,"Which coral atoll, the largest island in the Chagos Archipelago, was forcibly depopulated in 1971 to make way for a joint UK/USA military base?",diego garcia,A: The Chagos Archipelago was forcibly depopulated in 1971 to make way for a joint UK/USA military base,F
41,"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",george blake,"A: The spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966",F
42,"An American aided coup in Chile in 1973, deposed which President?",salvador allende,A: The American helped the coup in Chile in 1973,F
43,Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,south carolina,A: The first action of the Civil War took place in that state in April the following year,F
44,When Laurence Olivier became Baron Olivier where was he the Baron of,brighton, He was the Baron of England,F
45,What name is given to the Spanish method of execution by strangulation,garotte," The Spanish method of execution by strangulation is called the ""butterfly"" method",F
46,"June 5, 2004 saw the death of what man, the 40th President of the United States?",ronald reagan,A: The death of the 40th President of the United States,F
47,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",jfk assassination,A: The Warren Commission was seated to investigate the assassination of President John F. Kennedy,F
48,"What was the 42nd state to join the Union on Nov 11, 1889?",washington,A: The 42nd state to join the Union was Delaware,F
49,Who succeeded Theodore Roosevelt as President?,william howard taft,A: Theodore Roosevelt succeeded as President,F
50,From which country did Angola achieve independence in 1975?,portugal,A: From Angola,F
51,Which was the first European country to abolish capital punishment?,norway,A: The Netherlands,F
52,Which prince is Queen Elizabeth II's youngest son?,edward,A: Prince William is the youngest son of Queen Elizabeth II,F
53,Who became US Vice President when Spiro Agnew resigned?,gerald ford,A: Spiro Agnew resigned from the US Senate,F
54,The US signed a treaty with which country to allow the construction of the Panama Canal?,columbia,A: The US signed a treaty with which country to allow the construction of the Panama Canal,F
55,Which Amendment to the Constitution brought in prohibition in 1920?,18th,A: The amendment to the Constitution brought in prohibition in 1920,F
56,Which oil scandal hit the US in 1924?,teapot dome scandal,A: The oil scandal hit the US in 1924,F
57,Where did Idi Amin rule from 1971-1979?,uganda,A: He was from Uganda,T
58,What is the former name of the People's Republic of Venin?,dohomey,A: The former name of the People's Republic of Venin is the People's Republic of Venin,F
59,Who was the Egyptian president who was assassinated in 1981?,sadat,A: Hosni Mubarak,F
60,From which European country did Angola achieve independence in 1975?,portugal,A: From Angola,F
61,Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,winnie mandela,A: The woman was sentenced to six years in jail after the murder of Stompei Seipi,F
62,In which country did General Jaruzelski impose marital law in 1981?,poland,A: In which country did General Jaruzelski impose marital law in 1981?,F
63,Who was President Reagan's Secretary for Defense from 1987 to 1989?,frank carlucci,A: Ronald Reagan,F
64,In which decade of the 20th century was the FBI set up?,1900s,A: The FBI was set up in the late 1940s,F
65,Richard Nixon was Vice President to which US state?,dwight eisenhower,A: California,F
66,Thomas Marshal was Vice President to which US President?,woodrow wilson,A: Thomas Marshal was Vice President to which US President,F
67,Who preceded Hosni Mubarak as President of Egypt?,anwar el sadat,A: Mubarak was preceded by Hosni Mubarak,F
68,Which South African President repealed key parts of apartheid law in 1991?,fw de klerk,"A: The President of South Africa, Nelson Mandela",F
69,Which general introduced martial law in Poland in 1981?,jaruzelski,A: General martial law was introduced in Poland in 1981,F
70,In what decade were Zebra crossings introduced into law in the UK ?,1950 s,A: In the late 1950s,F
71,"In March 2010, which country passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses?",iceland,A: The United States passed a law banning all strip clubs and made it illegal for any business to profit from the nudity of employees such as topless waitresses,F
72,Raines Law of 1896 related to the sale of what in New York State?,liquor,A: The law states that the sale of what in New York State is prohibited,F
73,Under which Puritan leader did the English parliament pass a law banning Christmas in 1647?,oliver cromwell,A: The English parliament passed a law banning Christmas in 1647,F
74,"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",mother earth,"A: Pachamama, the new Law of what",F
75,What country announced a sales ban on the yeast extract Marmite in 2011 due to its law forbidding vitamin additives?,denmark,A: The country that announced a sales ban on the yeast extract Marmite in 2011 due to its law forbidding vitamin additives,F
76,"Upon the change to British regal succession law removing gender inequality, the Princess Royal (Anne) advances how many positions closer to the Crown?",six,A: The Princess Royal advances how many positions closer to the Crown,F
77,What significant law relating to literary and artistic works was first introduced in 1709?,copyright,A: The first significant law relating to literary and artistic works was introduced in 1709,F
78,Which law enforcement agency was established in 1908 as a branch of the U S Department of Justice?,f b i,A: The U.S. Department of Justice was established in 1908 as a branch of the U.S. Department of Justice,F
79,What is the name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years?,ancient lights,"A: The name of the English law that prevents anyone building so as to completely cut out light from a window that had provided light for at least 20 years is the ""Lights Act""",F
80,When was English law changed to enable a child to be made legitimate by the later marriage of its parents?,1926,A: In the late 19th century,F
81,"""What is the name given to the code of Roman law that was """"published"""" with the approval of the Roman Republic in 450 BC?""",twelve tables,"A: The name given to the code of Roman law that was """"published"""" with the approval of the Roman Republic in 450 BC is """"the code of Roman law""""",F
82,"What is prohibited by an unusual law that has been passed in Lanjarn, Spain, in three settlements in southern France: (Cugnaux, Le Lavandou & Sarpourenx), and has been proposed for Biritiba-Mirim, Brazil?",death,A: The law prohibits the sale of alcohol in the three settlements in southern France,F
83,"In which country do these laws apply: the 1975 State Protection Act (Article 10 b), which grants the government the power to imprison persons for up to five years without a trial, and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a)?",myanmar,A: The 1975 State Protection Act (Article 10 b) applies to the United States,F
84,"The Volstead Act, that became law in the USA on 28 October 1919, concerned what?",prohibition of alcohol,A: The Volstead Act was a law that prohibited alcohol,F
85,"""The """"Support Our Law Enforcement and Safe Neighborhoods Act"""" signed into law in the US state of Arizona on 23 April 2010 to take effect on 28 July 2010, concerns what?""",illegal immigration,A: The law will take effect on 28 July 2010,F
86,"What was the name of the English law court, subsequently abolished in 1641, that had a mandate from Henry VII to deal with nobles who were too powerful to be punished by ordinary courts?",star chamber,"A: The name of the English law court, subsequently abolished in 1641, was the House of Lords",F
87,"""Who wrote, in 1894: """"In its majestic equality, the law forbids rich and poor alike to sleep under bridges, beg in the streets and steal a loaf of bread""""?""",anatole france,"A: The word ""naff"" does not stand for anything",F
88,What is the name for a system of law based on Islamic texts?,sharia,A: The name for a system of law based on Islamic texts is the Shariah,T
89,What exam must be passed to practice law in the United States?,bar exam,A: The exam must be passed by passing a written test,F
90,"""Who said """"A week in politics is a long time""""?""",harold wilson,"A: ""Who said """"A week in politics is a long time""""?""",F
91,"The Guardian cartoonist, Steve Bell, always portrayed which politician with his Y-fronts outside his trousers?",john major,A: The cartoonist always portrayed which politician with his Y-fronts outside his trousers?,F
92,Which politician was portrayed as a bulldog by cartoonist Steve Bell?,john prescott,A: The cartoonist Steve Bell was a bulldog,F
93,"""Paula Dobriansky, the U.S. Under Secretary of State for Global Affairs, coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",lebanon,"A: Yes, ""Paula Dobriansky coined the phrase """"Cedar Revolution"""" to describe events in 2005 in which country?""",F
94,To which political party does Australian Prime Minister Kevin Rudd belong?,labour party,A: The Australian Labor Party,F
95,In which country did General Jaruzelski impose martial law in 1981?,poland,A: In which country did General Jaruzelski impose martial law in 1981?,F
96,What was the subject of French sociologist Émile Durkheim's 1897 work that studied Catholic and Protestant populations and that resulted in sociology getting established on its own?,suicide,A: The subject of Durkheim's work was the Catholic and Protestant populations,F
97,"In American politics, what is the symbol of the Republican Party?",elephant,A: The Republican Party is the party of Lincoln,F
98,What is the symbol of the democratic Party in American politics?,donkey,A: The symbol of the democratic Party is a red flag,F
99,"""Politics. Who in his speech to the House of Commons on the 4th April 1940 said, """"Hitler has missed the bus""""?""",neville chamberlain,A: Hitler missed the bus,F
100,"In UK politics, who first challenged Margaret Thatcher for leadership of the Conservative Party in 1990?",michael heseltine,A: No one challenged Margaret Thatcher for leadership of the Conservative Party in 1990,F
101,Which political commentator has presented both Weekend World and A Week in Politics?,peter jay,A: The political commentator who presented both Weekend World and A Week in Politics is the same person,F
102,"In the world of politics, what was broadcast live on British television for the first time on 20th March 1990?",budget,A: The news was broadcast live on British television for the first time on 20th March 1990,F
103,"In British politics, who succeeded Jeremy Thorpe as acting leader of the Liberal Party in 1976?",jo grimond,"A: No, Jeremy Thorpe was not the acting leader of the Liberal Party in 1976",F
104,"In UK politics, what position did Labour politician Manny Shinwell hold from 1950-51?",minister of defence,A: He was a member of the House of Commons,F
105,"In politics, psephology is the study of what?",elections,A: Political parties,F
106,"In UK politics, who defeated Ted Heath in the Tory leadership campaign of 1975?",margaret thatcher,A: No one defeated Ted Heath in the Tory leadership campaign of 1975,F
107,"In British politics, what is the only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman?",chancellor of exchequer,A: The only one of the 'Four Great Offices of State' never (at at Feb 2011) held by a woman is the Ministry of Defence,F
108,"In UK politics, what flower is the emblem of the Labour Party?",rose,A: The flower is the rose,T
109,In US politics who replaced Spiro Agnew as Richard Nixon's vice-president in 1973?,gerald ford,A: The people who replaced Spiro Agnew as Richard Nixon's vice-president in 1973 were the people who replaced Spiro Agnew as Richard Nixon's vice-president in 1973,F
110,Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983?,grenada,A: Bernard and Phyllis Coard and Maurice Bishop were involved with the politics of which country in 1983,F
111,What career did Adolf Hitler pursue before getting into politics?,painting,A: He was a Nazi,F
112,"Which board game is based around European power politics leading up,to the First World War?",diplomacy,A: The game is based on the game of chess,F
113,In German politics who was known as the Iron Chancellor?,bismarck,A: The Iron Chancellor was a German politician who was the leader of the German Social Democratic Party,F
114,"According to von Clausewitz, War is the continuation of what, by other means?",politics,A: War is the continuation of the old order,F
115,Sir William Vernon Harcourt was Home Secretary in which British Prime Minister’s government?,william gladstone,A: Home Secretary Harcourt was Home Secretary in which British Prime Minister’s government,F
116,Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country?,peru,A: Juan Velasco Alvarado became President of the Revolutionary Government in October 1968 in which south American country,F
117,Who was deported from the US aged 89 to face a war crime trial in Germany?,john demjanjuk,A: The person was deported from the US aged 89 to face a war crime trial in Germany,F
118,What is a legal defence for being somewhere other than at the scene of a crime?,alibi,A: You are not guilty of the crime if you are not at the scene of the crime,F
119,"Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966?",lsd,"A: Possession of what was made illegal in California, the first part of the USA to do so, on 6 October 1966",F
120,"Prior to the Law Resform Act (1996), the charge of murder could apply only if the victim died within what period from the time of the offence?",year and day,A: The charge of murder could apply only if the victim died within the period of the offence,F
121,The establishment of which law officers dates from 1194?,coroners,A: The establishment of which law officers dates from 1194,F
122,Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?,volstead act,A: Prohibition was popularly known as the National Prohibition Act,F
123,In law what name is given to a written voluntary statement given under oath?,affidavit,A: A written voluntary statement given under oath is called a statement of fact,F
124,Which European country recently passed a law legalizing divorce?,malta,A: The Netherlands,F
125,What type of law court has replaced the Assize Court?,crown court,A: The Supreme Court of the United States,F
126,"What is the legal term, used in law to describe the state of those related through marriage?",affinity,"A: The legal term used in law to describe the state of those related through marriage is ""married""",F
127,A formal agreement enforceable by law is what?,contract,A: A formal agreement enforceable by law is a contract,T
128,"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",435,A: One hundred and five,F
129,How long does a US president have to consider a bill before he must either sign it into law or return it to Congress as a veto?,10 days,A: A president has to consider a bill before he must sign it into law or return it to Congress as a veto,F
130,"September 22, 1961 saw the passage of Public Law 87-293, which declares ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for service abroad and willing to serve, under conditions of hardship if necessary, to help the peoples of such countries and areas in meeting their needs for trained manpower.""",peace corps,"A: September 22, 1961 saw the passage of Public Law 87-293, which declared ""To promote world peace and friendship through a [blank], which shall make available to interested countries and areas men and women of the United States qualified for",F
131,What degree does a US law school graduate get?,jd,A: A law school graduate gets a law degree,F
132,For what profession did Mahatma Ghandi train?,lawyer,A: He trained as a doctor,F
133,"The 1974 book Helter Skelter, co-written by lawyer Vincent Bugliosi, recounts whose famous crime?",charles manson,A: The crime was the murder of a man named John Dillinger,F
134,"Who was the Government Chief Whip who resigned in October 2012, following accusation that he swore at police officers and called them 'plebs'?",andrew mitchell,A: The Government Chief Whip resigned after the police officers and the Government Chief Whip called each other 'plebs',F
135,In what year did Britain have a Labour government for the first time?,1924,A: In the year of the first Labour government,F
136,"Which country was the first to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power?",tunisia,"A: The first country to experience civil uprisings in 'The Arab Spring', the then existing government being overthrown in January 2011 after 23 years in power",F
137,Who became Leader of the Opposition when the coalition government was formed in May 2010?,harriet harman,A: The leader of the opposition was the leader of the opposition,F
138,Who is Secretary of State for the Depsrtment of Communities and Local Government?,eric pickles,A: The Secretary of State for the Depsrtment of Communities and Local Government is a member of the Cabinet,F
139,"Currently held by John Kerry, what American governmental role is equivalent to that of Foreign Secretary in the UK?",secretary of state,A: The British government is equivalent to that of Foreign Secretary in the UK,F
140,"Which government agency has its headquarters at Explorer House, Southampton?",ordnance survey,A: The U.S. Department of Energy,F
141,Labour Party politician Aneurin Bevan is known for his role in establishing what seminal institution in Great Britain?,national health service,A: The Labour Party was founded by Aneurin Bevan,F
142,British politician Norman Tebbit created controversy in 1990 commenting on the perceived lack of loyalty of South Asian and Caribbean immigrants towards the English team playing which game?,cricket,A: I am not sure what he said,F
143,Name the Russian politician shot and killed near the Kremlin on 27th February 2015?,boris nemtsov,A: Vladimir Putin,F
144,"Which Chancellor, executed in 1535, became the patron saint of politicians?",sir thomas more,"A: The Chancellor of the United States, John Adams",F
145,"The son-in-law of a British Prime Minister and the father of a former Minister of Defence, which Conservative politician served as the last Governor of Southern Rhodesia?",christopher soames,"A: The son-in-law of a British Prime Minister and the father of a former Minister of Defence, who served as the last Governor of Southern Rhodesia",F
146,Which Soviet politician and diplomat was the principal Soviet signatory of the Nazi-Soviet Non-Aggression Pact of 1939?,vyacheslav molotov,A: Leonid Brezhnev,F
147,"October 11, 1950 saw the birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",patty murray,"A: The birth of what US politician, known as ""a mom in tennis shoes"", who is currently facing off against Dino Rossi?",F
